age_group,count,sum,mean,rate
0-17岁,823,2,0.002430133657351154,0.24301336573511542
18-34岁,965,1,0.0010362694300518134,0.10362694300518134
35-49岁,1020,16,0.01568627450980392,1.5686274509803921
50-64岁,1153,70,0.060711188204683436,6.071118820468343
65-74岁,503,57,0.11332007952286283,11.332007952286283
75岁及以上,517,102,0.19729206963249515,19.729206963249517
